dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name
winogrande-m-option,MC-SENT-SCALE,3.00E-05,32,40,801453,0.5288082084,winogrande-m-option_MC-SENT-SCALE_lr_3e-05_bs_32_max-epochs_40_seed_801453
winogrande-m-option,MC-SENT-PLOSS,3.00E-05,32,20,143428,0.5280189424,winogrande-m-option_MC-SENT-PLOSS_lr_3e-05_bs_32_max-epochs_20_seed_143428
winogrande-m-option,MC-SENT-PLOSS,2.00E-05,16,10,790491,0.5280189424,winogrande-m-option_MC-SENT-PLOSS_lr_2e-05_bs_16_max-epochs_10_seed_790491
winogrande-m-option,MC-MLM,3.00E-05,16,10,189945,0.5280189424,winogrande-m-option_MC-MLM_lr_3e-05_bs_16_max-epochs_10_seed_189945
winogrande-m-option,MC-MLM,3.00E-05,16,10,322489,0.5280189424,winogrande-m-option_MC-MLM_lr_3e-05_bs_16_max-epochs_10_seed_322489
winogrande-m-option,MC-SENT-PAIR,1.00E-05,32,20,279976,0.5272296764,winogrande-m-option_MC-SENT-PAIR_lr_1e-05_bs_32_max-epochs_20_seed_279976
winogrande-m-option,P-SPAN,1.00E-05,64,20,189084,0.5264404104,winogrande-m-option_P-SPAN_lr_1e-05_bs_64_max-epochs_20_seed_189084
winogrande-m-option,MC-SENT-PLOSS,3.00E-05,16,40,995590,0.5264404104,winogrande-m-option_MC-SENT-PLOSS_lr_3e-05_bs_16_max-epochs_40_seed_995590
winogrande-m-option,MC-SENT-PAIR,1.00E-05,8,20,517215,0.5264404104,winogrande-m-option_MC-SENT-PAIR_lr_1e-05_bs_8_max-epochs_20_seed_517215
winogrande-m-option,MC-SENT-SCALE,3.00E-05,32,20,746408,0.5264404104,winogrande-m-option_MC-SENT-SCALE_lr_3e-05_bs_32_max-epochs_20_seed_746408
winogrande-m-option,MC-MLM,2.00E-05,16,10,619477,0.5264404104,winogrande-m-option_MC-MLM_lr_2e-05_bs_16_max-epochs_10_seed_619477
winogrande-m-option,MC-SENT,3.00E-05,32,20,567450,0.5256511444,winogrande-m-option_MC-SENT_lr_3e-05_bs_32_max-epochs_20_seed_567450
winogrande-m-option,MC-SENT-PLOSS,3.00E-05,16,20,170210,0.5248618785,winogrande-m-option_MC-SENT-PLOSS_lr_3e-05_bs_16_max-epochs_20_seed_170210
winogrande-m-option,MC-SENT-SCALE,3.00E-05,16,40,960965,0.5248618785,winogrande-m-option_MC-SENT-SCALE_lr_3e-05_bs_16_max-epochs_40_seed_960965
winogrande-m-option,MC-SENT-SCALE,2.00E-05,8,40,262255,0.5248618785,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_8_max-epochs_40_seed_262255
winogrande-m-option,MC-SENT,1.00E-05,8,40,866079,0.5248618785,winogrande-m-option_MC-SENT_lr_1e-05_bs_8_max-epochs_40_seed_866079
winogrande-m-option,P-SPAN,1.00E-05,64,20,118848,0.5240726125,winogrande-m-option_P-SPAN_lr_1e-05_bs_64_max-epochs_20_seed_118848
winogrande-m-option,P-SENT,1.00E-05,16,20,293642,0.5240726125,winogrande-m-option_P-SENT_lr_1e-05_bs_16_max-epochs_20_seed_293642
winogrande-m-option,P-SENT,1.00E-05,16,20,762848,0.5240726125,winogrande-m-option_P-SENT_lr_1e-05_bs_16_max-epochs_20_seed_762848
winogrande-m-option,MC-SENT-PLOSS,2.00E-05,32,20,299486,0.5240726125,winogrande-m-option_MC-SENT-PLOSS_lr_2e-05_bs_32_max-epochs_20_seed_299486
winogrande-m-option,MC-SENT-PLOSS,1.00E-05,16,10,166531,0.5232833465,winogrande-m-option_MC-SENT-PLOSS_lr_1e-05_bs_16_max-epochs_10_seed_166531
winogrande-m-option,MC-SENT-SCALE,3.00E-05,8,20,88024,0.5232833465,winogrande-m-option_MC-SENT-SCALE_lr_3e-05_bs_8_max-epochs_20_seed_88024
winogrande-m-option,MC-SENT,3.00E-05,8,20,473142,0.5232833465,winogrande-m-option_MC-SENT_lr_3e-05_bs_8_max-epochs_20_seed_473142
winogrande-m-option,MC-MLM,3.00E-05,64,10,224218,0.5232833465,winogrande-m-option_MC-MLM_lr_3e-05_bs_64_max-epochs_10_seed_224218
winogrande-m-option,MC-SENT-PLOSS,2.00E-05,64,40,930590,0.5224940805,winogrande-m-option_MC-SENT-PLOSS_lr_2e-05_bs_64_max-epochs_40_seed_930590
winogrande-m-option,MC-SENT-SCALE,2.00E-05,64,20,859774,0.5224940805,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_64_max-epochs_20_seed_859774
winogrande-m-option,MC-SENT,3.00E-05,8,10,695940,0.5224940805,winogrande-m-option_MC-SENT_lr_3e-05_bs_8_max-epochs_10_seed_695940
winogrande-m-option,MC-MLM,2.00E-05,8,10,94668,0.5224940805,winogrande-m-option_MC-MLM_lr_2e-05_bs_8_max-epochs_10_seed_94668
winogrande-m-option,MC-SENT-PLOSS,1.00E-05,8,10,873053,0.5217048145,winogrande-m-option_MC-SENT-PLOSS_lr_1e-05_bs_8_max-epochs_10_seed_873053
winogrande-m-option,MC-SENT-SCALE,2.00E-05,64,20,28305,0.5217048145,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_64_max-epochs_20_seed_28305
winogrande-m-option,MC-SENT-SCALE,3.00E-05,8,40,903476,0.5217048145,winogrande-m-option_MC-SENT-SCALE_lr_3e-05_bs_8_max-epochs_40_seed_903476
winogrande-m-option,MC-SENT-SCALE,3.00E-05,8,40,768432,0.5217048145,winogrande-m-option_MC-SENT-SCALE_lr_3e-05_bs_8_max-epochs_40_seed_768432
winogrande-m-option,MC-SENT,2.00E-05,8,20,612808,0.5217048145,winogrande-m-option_MC-SENT_lr_2e-05_bs_8_max-epochs_20_seed_612808
winogrande-m-option,MC-MLM,3.00E-05,8,40,568808,0.5217048145,winogrande-m-option_MC-MLM_lr_3e-05_bs_8_max-epochs_40_seed_568808
winogrande-m-option,MC-SENT-PLOSS,1.00E-05,8,20,171390,0.5209155485,winogrande-m-option_MC-SENT-PLOSS_lr_1e-05_bs_8_max-epochs_20_seed_171390
winogrande-m-option,MC-SENT-PLOSS,1.00E-05,8,20,586627,0.5209155485,winogrande-m-option_MC-SENT-PLOSS_lr_1e-05_bs_8_max-epochs_20_seed_586627
winogrande-m-option,MC-SENT,3.00E-05,8,20,364331,0.5209155485,winogrande-m-option_MC-SENT_lr_3e-05_bs_8_max-epochs_20_seed_364331
winogrande-m-option,MC-SENT-PLOSS,2.00E-05,8,40,115244,0.5201262826,winogrande-m-option_MC-SENT-PLOSS_lr_2e-05_bs_8_max-epochs_40_seed_115244
winogrande-m-option,MC-SENT-PAIR,1.00E-05,32,10,504504,0.5201262826,winogrande-m-option_MC-SENT-PAIR_lr_1e-05_bs_32_max-epochs_10_seed_504504
winogrande-m-option,MC-SENT-SCALE,1.00E-05,32,10,836341,0.5201262826,winogrande-m-option_MC-SENT-SCALE_lr_1e-05_bs_32_max-epochs_10_seed_836341
winogrande-m-option,MC-SENT-SCALE,1.00E-05,32,20,179273,0.5201262826,winogrande-m-option_MC-SENT-SCALE_lr_1e-05_bs_32_max-epochs_20_seed_179273
winogrande-m-option,MC-SENT-PLOSS,2.00E-05,32,10,810435,0.5193370166,winogrande-m-option_MC-SENT-PLOSS_lr_2e-05_bs_32_max-epochs_10_seed_810435
winogrande-m-option,MC-SENT-PAIR,2.00E-05,8,20,189368,0.5193370166,winogrande-m-option_MC-SENT-PAIR_lr_2e-05_bs_8_max-epochs_20_seed_189368
winogrande-m-option,MC-SENT,2.00E-05,16,20,156425,0.5193370166,winogrande-m-option_MC-SENT_lr_2e-05_bs_16_max-epochs_20_seed_156425
winogrande-m-option,MC-MLM,3.00E-05,16,20,144180,0.5185477506,winogrande-m-option_MC-MLM_lr_3e-05_bs_16_max-epochs_20_seed_144180
winogrande-m-option,MC-SENT-PLOSS,1.00E-05,32,20,540065,0.5177584846,winogrande-m-option_MC-SENT-PLOSS_lr_1e-05_bs_32_max-epochs_20_seed_540065
winogrande-m-option,MC-SENT-PAIR,3.00E-05,8,10,12155,0.5177584846,winogrande-m-option_MC-SENT-PAIR_lr_3e-05_bs_8_max-epochs_10_seed_12155
winogrande-m-option,MC-SENT-SCALE,2.00E-05,64,10,905270,0.5177584846,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_64_max-epochs_10_seed_905270
