,level_0,index,dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name,best_iter,current_iter,total_iter,early_stop
118,337,76,wsc-spacy,P-SENT,1e-05,32,10,752545,0.6346153846,wsc-spacy_P-SENT_lr_1e-05_bs_32_max-epochs_10_seed_752545,,,,
119,338,77,wsc-spacy,P-SENT,1e-05,16,10,584112,0.6346153846,wsc-spacy_P-SENT_lr_1e-05_bs_16_max-epochs_10_seed_584112,,,,
120,339,78,wsc-spacy,P-SENT,2e-05,16,40,387028,0.6346153846,wsc-spacy_P-SENT_lr_2e-05_bs_16_max-epochs_40_seed_387028,,,,
121,340,79,wsc-spacy,P-SENT,2e-05,8,10,814052,0.6346153846,wsc-spacy_P-SENT_lr_2e-05_bs_8_max-epochs_10_seed_814052,,,,
122,341,80,wsc-spacy,P-SENT,2e-05,64,10,746554,0.6346153846,wsc-spacy_P-SENT_lr_2e-05_bs_64_max-epochs_10_seed_746554,,,,
123,342,81,wsc-spacy,P-SENT,2e-05,16,20,554760,0.6346153846,wsc-spacy_P-SENT_lr_2e-05_bs_16_max-epochs_20_seed_554760,,,,
124,343,82,wsc-spacy,P-SENT,2e-05,32,10,88499,0.6346153846,wsc-spacy_P-SENT_lr_2e-05_bs_32_max-epochs_10_seed_88499,,,,
125,347,86,wsc-spacy,P-SENT,1e-05,8,20,182119,0.6346153846,wsc-spacy_P-SENT_lr_1e-05_bs_8_max-epochs_20_seed_182119,,,,
126,349,88,wsc-spacy,P-SENT,1e-05,8,40,811574,0.6346153846,wsc-spacy_P-SENT_lr_1e-05_bs_8_max-epochs_40_seed_811574,,,,
127,350,89,wsc-spacy,MC-SENT-PLOSS,1e-05,64,10,279640,0.6346153846,wsc-spacy_MC-SENT-PLOSS_lr_1e-05_bs_64_max-epochs_10_seed_279640,,,,
128,351,90,wsc-spacy,MC-SENT-PLOSS,2e-05,8,10,923046,0.6346153846,wsc-spacy_MC-SENT-PLOSS_lr_2e-05_bs_8_max-epochs_10_seed_923046,,,,
129,352,91,wsc-spacy,MC-SENT-PLOSS,2e-05,8,10,186202,0.6346153846,wsc-spacy_MC-SENT-PLOSS_lr_2e-05_bs_8_max-epochs_10_seed_186202,,,,
130,355,94,wsc-spacy,MC-SENT-PAIR,1e-05,64,10,968223,0.6346153846,wsc-spacy_MC-SENT-PAIR_lr_1e-05_bs_64_max-epochs_10_seed_968223,,,,
131,356,95,wsc-spacy,MC-SENT-SCALE,2e-05,8,10,571417,0.6346153846,wsc-spacy_MC-SENT-SCALE_lr_2e-05_bs_8_max-epochs_10_seed_571417,,,,
132,358,97,wsc-spacy,MC-SENT-PAIR,1e-05,64,20,239442,0.625,wsc-spacy_MC-SENT-PAIR_lr_1e-05_bs_64_max-epochs_20_seed_239442,,,,
133,359,98,wsc-spacy,MC-SENT-PAIR,2e-05,16,10,994684,0.625,wsc-spacy_MC-SENT-PAIR_lr_2e-05_bs_16_max-epochs_10_seed_994684,,,,
134,360,99,wsc-spacy,MC-SENT-PAIR,1e-05,32,10,955738,0.6057692308,wsc-spacy_MC-SENT-PAIR_lr_1e-05_bs_32_max-epochs_10_seed_955738,,,,
